Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Niv-mizzet Reborn,http://www.mtgtop8.com/event?e=27026&d=411774&f=EDH,Michel Jean-loup,16381,19867,59.95,444,EDH
Niv-mizzet Reborn,http://www.mtgtop8.com/event?e=27218&d=414138&f=EDH,"Florian ""logarythme"" Trotte",16161,19039,34.95,213,EDH
Niv,http://www.mtgtop8.com/event?e=26759&d=407512&f=EDH,Florian Trotte (logarythme),16161,19039,34.95,214,EDH
Will Rowan,http://www.mtgtop8.com/event?e=27372&d=417087&f=EDH,"Kaourintin ""falaakr"" Le Guiban",744,4127,34.95,223,EDH
Niv-mizzet Reborn,http://www.mtgtop8.com/event?e=27218&d=414140&f=EDH,Julien Chiarvesio,16259,19217,34.95,233,EDH
Niv 5c,http://www.mtgtop8.com/event?e=26759&d=407509&f=EDH,Julien Chiarvesio,16257,19208,34.95,232,EDH
Will Kenrith,http://www.mtgtop8.com/event?e=26722&d=407010&f=EDH,Damien Boutou,976,4351,34.95,192,EDH
Rowan Kenrith + Will Kenrith,http://www.mtgtop8.com/event?e=27312&d=416333&f=EDH,Jack Ho,733,4125,34.95,169,EDH
Rowan Kenrith + Will Kenrith,http://www.mtgtop8.com/event?e=27065&d=412703&f=EDH,Kelvin Gomes,667,1038,34.95,144,EDH
Leovold,http://www.mtgtop8.com/event?e=26774&d=407665&f=EDH,Thomas Bagdadlian,9383,9051,59.95,380,EDH
Leovol,http://www.mtgtop8.com/event?e=27217&d=414132&f=EDH,Julien De Lardemelle,9383,9052,59.95,380,EDH
Rowan Kenrith + Will Kenrith,http://www.mtgtop8.com/event?e=26793&d=407924&f=EDH,Marien Couvertier,793,4177,34.95,222,EDH
"Klothys, God Of Destiny",http://www.mtgtop8.com/event?e=27011&d=411652&f=EDH,Ivan Bais,901,2484,34.95,102,EDH
"Leovold, Emissary Of Trest",http://www.mtgtop8.com/event?e=27312&d=416331&f=EDH,Cheng Ting Hin,9574,8354,59.95,423,EDH
"Klothys, God Of Destiny",http://www.mtgtop8.com/event?e=27244&d=414449&f=EDH,"Yufei,shen",896,2416,34.95,199,EDH
"Léovold, Emissary Of Trest",http://www.mtgtop8.com/event?e=27443&d=417967&f=EDH,Pecriaux Jeremy (pek),9410,8187,59.95,408,EDH
Kenrith Twins,http://www.mtgtop8.com/event?e=26331&d=400711&f=EDH,"Kaourintin ""falaakr"" Le Guiban",745,4128,34.95,224,EDH
Kenrith Twins,http://www.mtgtop8.com/event?e=26332&d=400730&f=EDH,"Kaourintin ""falaakr"" Le Guiban",744,4127,34.95,223,EDH
"Klothys, God Of Destiny",http://www.mtgtop8.com/event?e=26620&d=405677&f=EDH,Ivan Bais,901,2474,34.95,102,EDH
Klothys,http://www.mtgtop8.com/event?e=27089&d=412955&f=EDH,Garry Mallier,279,894,34.95,89,EDH
"Klothys, God Of Destiny",http://www.mtgtop8.com/event?e=26460&d=403086&f=EDH,Xiong Jiateng,557,1112,34.95,177,EDH
Leovold,http://www.mtgtop8.com/event?e=26331&d=400716&f=EDH,Maximilien Kalil,9427,9067,59.95,368,EDH
"Klothys, God Of Destiny",http://www.mtgtop8.com/event?e=26548&d=404905&f=EDH,Ivan Bais,906,2490,34.95,104,EDH
Leovold,http://www.mtgtop8.com/event?e=26332&d=400720&f=EDH,Guillaume Audiffren,9446,8207,59.95,408,EDH
Leovold,http://www.mtgtop8.com/event?e=26332&d=400719&f=EDH,Maximilien Kalil,9427,9067,59.95,367,EDH
Tymna + Kraum,http://www.mtgtop8.com/event?e=27372&d=417092&f=EDH,Maximilien Kalil,15433,13321,59.95,346,EDH
Tymna + Kraum,http://www.mtgtop8.com/event?e=27402&d=417435&f=EDH,Roman Vejdelek,15130,12744,34.95,250,EDH
Venser,http://www.mtgtop8.com/event?e=27372&d=417093&f=EDH,Jules Lestiennes,1389,1738,34.95,220,EDH
