Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder
Sultai Delirium,http://www.mtgtop8.com/event?e=26875&d=409507&f=PI,Takahashi Tarou,770,824,34.95,340
Sultai Midrange,http://www.mtgtop8.com/event?e=26790&d=407907&f=PI,biz1,664,744,34.95,303
Sultai Delirium,http://www.mtgtop8.com/event?e=26813&d=408289&f=PI,Okamura Takumi,716,777,34.95,338
UW Control,http://www.mtgtop8.com/event?e=27241&d=414408&f=PI,WaToO,312,373,34.95,180
UW Control,http://www.mtgtop8.com/event?e=27228&d=414271&f=PI,Usui Tomoki,306,348,34.95,155
Uw Approach,http://www.mtgtop8.com/event?e=27186&d=413890&f=PI,Michael Stix,280,318,34.95,174
UW Control,http://www.mtgtop8.com/event?e=27129&d=413375&f=PI,paolothewall182,317,365,34.95,109
UW Control,http://www.mtgtop8.com/event?e=27138&d=413471&f=PI,U Kashin,529,614,34.95,313
UW Control,http://www.mtgtop8.com/event?e=27094&d=413023&f=PI,Hiroshima Hajime,326,367,34.95,156
UW Control,http://www.mtgtop8.com/event?e=27077&d=412849&f=PI,gogogadgetcoaster,337,377,34.95,176
UW Control,http://www.mtgtop8.com/event?e=26893&d=409677&f=PI,lsv,338,377,34.95,176
